Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days/week,Experience_Level,BMI,Daily_meals_frequency,Physical_exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name_of_Exercise,Sets,Reps,Benefit,Burns_Calories_per_30_min,Target_Muscle_Group,Equipment_Needed,Difficulty_Level,Body_Part,Type_of_Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns_Calories_per_30_min_bc,Burns_Calories_Bin
23.41,Female,41.96,1.58,163.03,131.8,66.81,0.56,491.46,17.40370388644472,1.8,3.0,1.0,16.81,3.01,-0.01,200.22,80.57,53.49,1043.0,Other,Dinner,Paleo,47.83,88.66,46.71,247.5,Steamed,45.26,40.18,1.5,Plyometric Push-ups,5.0,22.99,Targets abdominal muscles,363.28,"Chest, Triceps",None or Dumbbells,Beginner,Abs,Lower Chest,Plate pinch,16.808203813491424,1604.57,0.499124376001047,1.9201620591039084,0.6754313032633549,0.8084401643869227,551.54,34.657405849247795,406.8736,1.172443313958637e+20,Very High
18.21,Female,125.4,1.67,172.15,153.0,60.11,1.44,1382.4,35.0,2.21,3.02,2.0,44.96,3.0,-0.02,295.23,117.29,79.08,3270.0,Other,Lunch,Low-Carb,10.76,1171.69,-3.59,501.81,Roasted,42.99,21.7,1.62,Bear Crawls,5.0,23.97,Enhances full-body coordination and stability,365.68,"Triceps, Chest",None or Dumbbell,Beginner,Shoulders,Wrist Extensors,Bent-over lateral raises,44.96396428699487,2361.8,0.5000084681175375,0.9353269537480065,0.8290789003927168,0.8887598024978216,1887.6,81.51,1053.1584,1.2372391982430652e+20,Very High
43.03,Female,58.44,1.61,178.86,123.89,53.89,1.04,998.4,26.351704967870266,2.6,3.03,2.0,22.55,3.01,0.97,243.76,98.05,65.22,1393.0,Other,Lunch,Vegetarian,10.01,1400.49,41.88,475.72,Baked,46.65,107.81,2.2,Deadlifts,4.01,18.95,Improves core stability and upper body strength,360.99,"Glutes, Hamstrings",None or Dumbbells,Advanced,Chest,Wrist Extensors,Close-grip bench press,22.545426488175607,1954.22,0.4989407538557582,1.677789185489391,0.5601344322637433,0.6926646539192665,394.6,43.04006361677661,750.8592000000001,1.113414431290757e+20,Very High
20.2,Female,124.51,1.82,194.52,144.7,63.05,1.25,1198.0,35.0,3.19,3.0,1.98,37.59,3.0,-0.04,279.7,111.7,74.84,3098.0,Other,Lunch,Vegan,18.28,1834.0,56.31,206.68,Baked,38.75,52.23,2.36,Squats,5.0,15.01,Improves back strength and posture,365.22,"Quadriceps, Glutes",Resistance Band or Cable Machine,Advanced,Forearms,Triceps,Crunches,37.589059292356,2239.16,0.4996516550849426,0.8971166974540198,0.6210542329048451,0.7438823771334566,1900.0,80.9315,913.05,1.2245819600886129e+20,Very High
20.22,Female,128.15,1.84,164.06,131.82,58.02,0.83,732.39,35.0,2.3,2.99,1.03,37.85,2.96,0.0,178.63,72.3,47.93,3254.0,Other,Snack,Keto,21.65,2145.53,212.23,197.36,Grilled,27.86,35.97,3.81,Dips,4.02,23.03,Strengthens lower body,346.17,"Lower Back, Glutes",Bench or Chair,Advanced,Legs,Lower,Plate pinch,37.85148865784499,1435.09,0.4978921182643596,0.5641825985173624,0.6959637872500942,0.8034865293185419,2521.61,83.29750000000001,574.6422,7.90572853352649e+19,Medium
39.8,Female,63.44,1.61,162.83,159.15,59.16,1.3,1250.08,22.50055468698468,1.6,3.03,2.02,24.47,2.0,0.03,282.19,113.41,75.43,1833.0,Other,Dinner,Keto,13.99,2361.35,287.39,345.69,Roasted,16.26,104.33,4.8,Shoulder Press,5.0,16.96,Builds lower body power and endurance,352.56,"Obliques, Core",Dumbbells,Advanced,Arms,Lower Chest,Incline dumbbell press,24.47436441495312,2261.2700000000004,0.4991708199374686,1.7876733921815888,0.9645027491077456,0.9773997420622736,582.9200000000001,49.16564810657691,916.656,9.17968309620444e+19,High
52.44,Female,43.82,1.62,179.04,120.6,61.04,1.4,1230.88,22.338802521409505,1.6,3.0,1.0,16.7,2.02,1.03,238.12,95.45,63.73,1239.0,Other,Breakfast,Paleo,13.32,2121.94,245.06,403.23,Fried,38.98,99.33,3.04,Incline Push-ups,3.97,24.91,Full body workout,329.78,"Full Body, Core, Shoulders",Parallel Bars or Chair,Intermediate,Forearms,Anterior,Dumbbell curls,16.697149824721837,1907.85,0.4992426029299998,2.178229119123688,0.5047457627118643,0.6735924932975871,8.11999999999989,34.03113673511835,923.384,5.319764750556559e+19,Low
45.35,Female,89.52,1.78,198.16,166.88,67.11,1.53,1591.2,27.17833489214081,3.51,3.99,3.0,28.25,3.03,0.01,172.67,69.98,46.14,2474.0,Other,Snack,Vegetarian,4.45,1740.35,110.87,286.2,Roasted,52.92,120.25,3.77,Tricep Dips,4.98,17.07,Improves posture and back strength,357.13,"Glutes, Hamstrings, Core",Resistance Band or Cable Machine,Advanced,Legs,Triceps,Decline cable crossovers,28.25400833228128,1385.86,0.4983764593826216,0.7817247542448615,0.7613124761541396,0.8421477593863544,882.8,65.18995460455554,1092.8178,1.0198056941956171e+20,High
49.34,Female,79.2,1.73,181.99,150.78,63.91,1.39,1223.2,26.66134062473278,2.31,2.02,1.0,26.46,3.99,-0.01,196.58,79.11,52.25,2027.0,Other,Breakfast,Vegetarian,43.47,1273.21,186.53,315.32,Grilled,47.1,48.65,1.21,Tricep Dips,4.99,21.01,Improves core stability,338.39,"Lower Abs, Hip Flexors",Bench or Step,Beginner,Legs,Wrist Flexors,Hammer curl,26.46262822012095,1573.01,0.4998823910846085,0.9988636363636364,0.7356876693766937,0.8285070608275179,803.8,58.08421822521164,940.7242,6.566137266973155e+19,Medium
39.2,Female,72.01,1.88,198.25,146.8,50.74,0.54,474.34,23.73431004138806,2.18,2.01,1.0,20.37,3.02,-0.01,254.47,102.37,68.13,1772.0,Other,Breakfast,Balanced,26.47,755.82,123.28,107.4,Baked,40.47,114.05,4.12,Glute Bridges,5.02,20.06,Improves core stability,366.22,"Core, Shoulders, Legs",Kettlebell,Beginner,Shoulders,Triceps,Close-grip bench press,20.374038026256223,2040.53,0.4988311860153979,1.4216081099847242,0.6512100874516983,0.7404791929382094,1297.66,54.91892333919646,395.5176000000001,1.2522441300160982e+20,Very High
20.08,Female,91.6,1.94,175.26,130.39,70.93,1.14,1095.31,24.99059145108472,2.11,3.0,2.01,24.34,2.0,-0.02,269.41,107.94,71.87,2419.0,Other,Lunch,Vegetarian,3.63,1258.78,108.31,445.2,Boiled,32.44,44.76,3.61,Lateral Raises,5.01,16.07,Improves core stability,350.82,"Back, Core, Shoulders",Bench or Step,Intermediate,Back,Wrist Extensors,Hammer curl,24.338399404825168,2156.23,0.4997797081016404,1.178384279475983,0.5699223617367966,0.743980372018715,1323.69,68.7086182308064,799.8695999999999,8.816093385442153e+19,High
43.07,Female,57.26,1.79,175.15,165.93,62.05,1.97,2051.95,20.16292855084312,2.69,3.99,3.02,17.87,2.01,-0.03,259.63,104.13,69.56,1522.0,Other,Dinner,Balanced,12.3,1831.05,103.71,387.78,Baked,11.07,86.0,2.92,Windshield Wipers,4.0,21.01,Targets abdominal muscles,341.73,"Core, Lower Back",Low Bar or TRX,Intermediate,Back,Quads,Plank,17.870852969632658,2081.08,0.4990293501451169,1.8185469786936777,0.9184792219274978,0.9473594062232372,-529.9499999999998,45.71470711178723,1346.4162,7.114589241710548e+19,Medium
40.1,Female,59.97,1.88,182.84,140.82,61.02,1.23,1180.8,19.846905776904148,3.0,3.0,2.0,16.97,3.02,3.01,284.2,114.71,76.05,1680.0,Other,Snack,Keto,17.09,1621.68,45.53,374.65,Raw,52.74,91.09,2.61,Bear Crawls,5.0,25.1,Strengthens back and legs,339.54,"Core, Obliques",Cable Machine or Resistance Band,Intermediate,Arms,Quads,Bicycle crunches,16.967519239474875,2280.09,0.4985768105644953,1.912789728197432,0.6550648497783614,0.7701815795230802,499.2000000000001,48.06781060559058,835.2684,6.750629534629783e+19,Medium
57.22,Female,83.22,1.65,171.98,165.78,67.02,1.57,1635.31,32.33527968865421,3.49,3.99,3.02,30.57,2.99,-0.01,197.15,79.5,52.47,2245.0,Other,Lunch,Keto,14.53,1246.0,102.53,162.51,Boiled,45.93,59.45,2.33,Lat Pulldowns,4.99,17.02,Improves posture and back strength,340.53,"Chest, Triceps",Bench or Step,Advanced,Chest,Grip Strength,Plate pinch,30.567493112947663,1578.83,0.4994837949620922,0.9552992069214132,0.9409298780487806,0.9639492964298176,609.69,56.31058024310196,1069.2641999999998,6.913082596759977e+19,Medium
37.91,Female,59.04,1.72,196.36,148.33,67.86,1.09,1045.53,22.76051110256233,1.69,2.97,1.99,19.96,2.01,-0.02,244.57,97.5,64.97,1679.0,Other,Dinner,Keto,7.44,432.79,207.56,347.87,Raw,14.62,44.74,4.07,Plank,4.98,24.93,Builds back strength,330.36,Shoulders,Pull-up Bar,Advanced,Arms,Triceps,Donkey kicks,19.95673336938886,1953.01,0.5009088535132948,1.6514227642276422,0.6262256809338522,0.7553982481157059,633.47,45.6021942450472,720.1848000000001,5.3966589918340375e+19,Low
54.05,Female,68.09,1.54,181.64,139.87,49.82,0.72,634.18,34.54703349391509,1.5,2.98,1.01,28.71,4.02,3.99,389.8,156.05,103.9,1969.0,Other,Snack,Low-Carb,9.21,277.35,123.88,492.14,Boiled,53.66,23.9,1.23,Incline Push-ups,4.01,23.01,Improves posture and strengthens upper back,343.21,Core,Pull-up Bar,Beginner,Arms,Wrist Extensors,Preacher curls,28.71057513914657,3118.5,0.4999839666506333,2.291819650462623,0.6831285085722957,0.7700396388460692,1334.8200000000002,44.566924893993225,494.2224,7.3702027899027325e+19,Medium
35.12,Female,71.52,1.79,184.82,124.98,63.07,1.08,1035.94,23.108991382671856,2.28,2.98,1.99,22.32,2.98,-0.02,297.98,119.5,79.35,2164.0,Other,Dinner,Keto,50.18,1040.08,205.6,243.47,Raw,16.77,72.86,2.21,Kettlebell Swings,4.99,17.12,Improves balance and leg strength,350.29,Core,Kettlebell,Advanced,Shoulders,Posterior,Wrist extension,22.321400705346274,2384.07,0.4999517631613165,1.67086129753915,0.5085010266940452,0.6762255167189699,1128.06,54.99244936311308,756.6264000000001,8.707886965969648e+19,High
53.13,Female,52.96,1.74,172.66,156.18,53.83,1.38,1325.9,18.57868013968892,1.82,2.97,2.01,17.49,4.01,0.04,288.82,115.47,76.95,1306.0,Other,Breakfast,Low-Carb,35.48,1074.36,226.13,365.43,Boiled,32.57,81.76,1.59,Rows,5.0,19.92,Builds unilateral leg strength,358.11,"Core, Lower Back",Cable Machine,Intermediate,Arms,Quads,Leg raises,17.492403223675517,2309.71,0.5001840057842759,2.180324773413897,0.861314482874695,0.904552299316576,-19.90000000000009,43.12073099802075,988.3836,1.0428918903039276e+20,High
53.0,Female,51.89,1.57,171.14,149.3,71.12,1.33,1274.67,25.390273956532766,2.21,3.02,1.98,21.05,3.0,-0.01,212.24,84.23,56.37,1452.0,Other,Dinner,Paleo,27.49,1259.73,101.42,105.89,Steamed,53.71,45.44,3.81,Push Ups,5.0,17.89,Full body workout,329.77,"Rear Deltoids, Upper Back","Bench, Barbell",Beginner,Back,Lower,Decline dumbbell press,21.051563957969897,1693.21,0.5013908493335144,1.623241472345346,0.7816436712657471,0.8723851817225664,177.32999999999993,38.714986843955145,877.1882,5.3184474675623264e+19,Low
45.99,Female,84.21,2.0,188.71,162.1,66.11,1.82,1889.89,22.062557379482108,3.5,4.96,2.98,21.05,4.0,0.04,244.04,97.39,64.99,2411.0,Other,Dinner,Balanced,26.98,2346.61,244.98,359.13,Fried,7.23,33.3,2.05,Dips,5.0,15.76,Improves posture and strengthens upper back,363.56,"Glutes, Hamstrings",Parallel Bars or Chair,Beginner,Arms,Quads,Overhead triceps extensions,21.0525,1950.63,0.5004331933785494,1.156513478209239,0.7829526916802609,0.8589899846325049,521.1099999999999,65.63112043073811,1323.3584,1.179845981806973e+20,Very High
18.0,Female,64.39,1.82,187.07,149.04,51.72,1.2,1152.96,18.25521758399069,2.41,2.98,2.01,19.44,4.01,0.05,208.23,82.9,55.62,1747.0,Other,Snack,Vegetarian,23.35,699.23,39.99,140.28,Steamed,55.94,115.21,2.2,Calf Raises,4.01,20.89,Strengthens lower abs,340.55,"Lower Back, Glutes",Cable Machine,Advanced,Arms,Lower,Hammer curl,19.43907740611037,1665.1,0.5002222088763437,1.2874669979810531,0.7190247506464721,0.796707114983696,594.04,52.6354653976684,817.32,6.916399535470184e+19,Medium
34.88,Female,78.11,1.67,198.11,168.19,56.62,1.14,1096.22,28.689461973908088,2.49,4.03,2.02,28.01,1.96,4.02,436.71,175.77,116.9,2321.0,Other,Lunch,Low-Carb,43.36,273.85,10.03,347.51,Raw,31.25,55.34,1.26,Shoulder Press,5.0,16.05,Builds unilateral leg strength and balance,345.4,"Rear Deltoids, Upper Back",Bench or Chair,Advanced,Chest,Quads,Hammer curls,28.007458137616982,3502.0200000000004,0.4988092586564325,2.250288055306619,0.7885362923174781,0.8489727928928372,1224.78,55.70066125218039,787.5119999999998,7.763232770735663e+19,Medium
24.12,Female,88.42,1.79,176.97,153.92,64.94,1.76,1830.4,28.148485818468515,3.5,3.99,3.0,27.6,3.0,0.02,173.13,69.78,45.8,2399.0,Other,Lunch,Balanced,1.02,309.12,189.4,122.05,Grilled,46.06,15.41,2.82,Resistance Band Pull-Aparts,4.02,24.08,Strengthens back and legs,350.22,"Quadriceps, Calves, Glutes",Dumbbells or Barbell,Advanced,Chest,Quads,Triceps dips,27.59589276239818,1383.84,0.5004335761359695,0.7891879665234109,0.7942515397661339,0.869751935356275,568.5999999999999,63.53110883931014,1232.7744,8.693683086444352e+19,High
54.11,Female,70.49,1.52,180.04,139.11,65.15,0.76,669.41,28.28300753197912,2.1,2.01,1.01,30.51,2.98,2.99,405.81,162.58,108.06,2013.0,Other,Lunch,Low-Carb,41.24,114.89,118.61,416.67,Fried,4.71,105.84,4.07,Push-ups,5.0,20.87,Targets lower abs,345.04,"Shoulders, Triceps",Cable Machine,Advanced,Arms,Quads,Decline dumbbell flyes,30.50986842105263,3246.1,0.5000585317765934,2.306426443467158,0.6437461920097486,0.7726616307487226,1343.59,50.55330799070792,524.4608000000001,7.697388526011959e+19,Medium
44.68,Female,51.05,1.65,170.07,135.37,50.1,1.45,1278.32,24.601334828318343,2.31,2.0,1.02,18.75,3.03,0.0,233.93,93.15,62.62,1376.0,Other,Dinner,Paleo,11.21,1449.03,247.88,152.84,Steamed,39.22,29.69,4.58,Turkish Get-ups,4.0,23.03,Builds chest strength,337.23,"Back, Biceps",Cable Machine or Resistance Band,Advanced,Forearms,Posterior,Decline dumbbell flyes,18.75114784205693,1871.9,0.4998771301885784,1.824681684622919,0.7107610235892308,0.7959663667901453,97.68000000000006,38.49101857014348,977.967,6.384539993623783e+19,Low
55.04,Female,74.98,1.71,172.88,130.47,57.12,1.02,979.2,28.89277994330472,2.01,4.04,2.0,25.64,3.02,0.01,308.82,123.18,82.12,2008.0,Other,Snack,Paleo,14.58,1094.4,34.21,141.04,Steamed,41.9,98.69,3.14,Step-ups,5.0,17.01,Improves core stability and upper body strength,366.74,"Chest, Triceps, Shoulders",Cable Machine,Beginner,Legs,Quads,Crunches,25.64207790431244,2467.08,0.5007052872221411,1.6428380901573754,0.6336385625431928,0.7546853308653402,1028.8,53.31619359851012,748.1496000000001,1.2668440789445566e+20,Very High
29.08,Female,120.53,1.78,196.95,168.37,65.18,0.78,685.78,35.0,3.42,1.99,1.0,38.04,2.0,0.01,214.19,85.32,56.73,3068.0,Other,Breakfast,Balanced,20.75,1076.31,33.31,233.78,Baked,58.86,16.65,2.97,Superman,2.99,15.16,Strengthens triceps and chest,144.82,"Rear Deltoids, Upper Back",Cable Machine,Intermediate,Forearms,Lateral,Seated calf raises,38.041282666330005,1708.61,0.5014368404726649,0.7078735584501783,0.7831069287394704,0.8548870271642549,2382.2200000000003,78.3445,225.9192,6.485291818239819e+16,Low
59.16,Female,126.1,1.69,167.91,148.85,68.19,1.25,1096.0,35.0,2.9,3.01,1.0,44.15,2.99,-0.02,240.18,96.42,63.3,3406.0,Other,Snack,Vegan,35.02,386.09,243.41,296.87,Baked,17.35,52.89,2.03,Bird Dogs,4.02,15.09,Builds lower body power,358.86,"Legs, Shoulders, Core",Bench or Sturdy Surface,Beginner,Arms,Wrist Extensors,Overhead triceps extensions,44.15111515703232,1916.1,0.5013934554563958,0.7646312450436162,0.8088648215002006,0.8864868084092669,2310.0,81.965,897.1500000000001,1.0608685700240912e+20,High
33.18,Female,56.88,1.54,164.84,154.94,62.98,1.06,931.1,24.464190813785585,1.52,2.99,1.0,23.98,2.99,0.08,304.76,121.59,81.54,1686.0,Other,Snack,Vegan,3.71,368.2,152.16,195.01,Grilled,58.11,90.21,1.3,Calf Raises,4.99,18.04,Improves shoulder health and posture,330.45,"Lower Back, Glutes",Dumbbells or Barbell,Advanced,Arms,Quads,Bent-over lateral raises,23.983808399392817,2439.26,0.4997581233652828,2.1376582278481013,0.9028077753779696,0.9399417617083232,754.9,42.96476826511876,700.554,5.408677891343922e+19,Low
25.07,Female,59.02,1.51,185.46,161.32,53.92,1.62,1683.5,25.001570101245125,2.69,4.99,2.99,25.88,4.01,0.03,243.15,97.67,65.19,1798.0,Other,Snack,Paleo,4.01,106.92,277.27,411.87,Baked,51.01,117.64,2.92,Zottman Curls,5.0,14.95,Strengthens lower abs and hip flexors,328.53,"Upper Back, Rear Deltoids",Box or Platform,Beginner,Chest,Wrist Extensors,Hyperextensions,25.884829612736286,1949.99,0.4987717885732747,1.6548627583869877,0.8164816785768586,0.8698371616521082,114.5,44.264073326245125,1064.4372,5.157306837575685e+19,Low
18.86,Female,58.79,1.77,180.99,136.06,53.15,1.4,1233.12,21.621554590867223,2.71,1.97,1.01,18.77,3.0,0.98,212.46,84.53,56.35,1663.0,Other,Lunch,Balanced,11.31,614.7,7.85,235.92,Fried,32.36,75.78,1.56,Plyometric Push-ups,4.01,17.9,Isolates and strengthens triceps,343.96,"Glutes, Hamstrings, Core",Dumbbells,Advanced,Back,Posterior,Leg press,18.7653611669699,1695.11,0.5013479951153612,1.437829562850825,0.6485450563204005,0.7517542405657771,429.8800000000001,46.07868805602916,963.088,7.502787970907298e+19,Medium
32.27,Female,104.31,1.67,184.38,142.53,72.06,0.56,492.8,35.0,2.9,3.01,1.0,37.4,3.02,-0.0,216.79,86.41,57.48,2820.0,Other,Lunch,Vegetarian,46.36,997.4,56.11,443.24,Roasted,45.81,108.87,1.08,Rows,5.0,19.97,Improves cardiovascular fitness,362.24,"Upper Chest, Triceps",Dumbbells,Intermediate,Arms,Lower Chest,Overhead triceps extensions,37.40184302054573,1730.12,0.5012137886389384,0.8283961269293452,0.6274038461538461,0.7730231044581842,2327.2,67.8015,405.70880000000005,1.1453034329369924e+20,Very High
38.03,Female,71.42,1.77,196.52,142.07,71.86,1.12,989.18,24.252374076260534,3.09,1.98,1.04,22.8,2.97,0.0,211.56,85.69,56.13,2038.0,Other,Lunch,Vegan,19.07,1159.46,110.79,487.56,Grilled,52.68,11.63,3.66,Frog Jumps,2.97,14.9,Isolates triceps,336.39,"Quadriceps, Glutes",Dumbbells or Barbell,Advanced,Forearms,Middle,Dumbbell flyes,22.79676976603147,1694.17,0.4995012306911349,1.1998039764771773,0.5632119364671907,0.7229289639731324,1048.8200000000002,54.09895443473473,753.5136,6.255805757162628e+19,Low
42.55,Female,95.53,1.77,197.95,151.16,50.22,1.08,951.26,27.918410019068386,3.39,3.03,1.01,30.49,2.97,0.0,208.4,82.94,55.0,2560.0,Other,Breakfast,Keto,48.22,1625.73,112.2,497.65,Raw,29.03,36.7,1.97,Reverse Lunges,5.03,22.13,Improves core rotation strength,368.94,"Full Body, Core, Shoulders",Barbell,Intermediate,Back,Wrist Flexors,Seated cable rows,30.492514922276484,1660.36,0.5020597942614854,0.8682089396001256,0.6832735395654235,0.7636271785804496,1608.74,68.85954290878398,796.9104000000001,1.3302800195036994e+20,Very High
39.03,Female,59.36,1.83,169.75,154.24,58.85,1.35,1296.0,21.592958372654984,2.31,3.99,2.0,17.73,2.01,-0.01,219.94,87.43,57.85,1684.0,Other,Dinner,Keto,2.42,261.13,200.25,427.67,Roasted,52.93,115.76,3.48,Leg Press,4.99,24.97,Isolates triceps,354.62,"Obliques, Core",Dumbbells or Barbell,Intermediate,Shoulders,Grip Strength,Romanian deadlifts,17.72522320762041,1750.13,0.5026826578597018,1.472877358490566,0.8601442741208296,0.9086303387334316,388.0,46.542419909992006,957.474,9.62710553695046e+19,High
32.36,Female,68.41,1.66,167.27,121.94,53.94,1.11,1065.6,25.824076949039515,2.31,3.98,2.0,24.83,1.99,-0.06,245.95,99.58,66.04,1784.0,Other,Dinner,Balanced,37.78,2382.9,208.83,394.56,Boiled,57.97,28.4,4.31,Bicep Curls,3.01,9.99,Targets obliques and improves core rotation,274.45,"Quadriceps, Calves, Glutes",Kettlebell,Intermediate,Forearms,Upper,Hammer curl,24.82580926114095,1976.48,0.4977535821257994,1.4556351410612485,0.6000176475778699,0.7290010163209182,718.4000000000001,50.74374895916206,609.279,1.18763398394919e+19,Low
59.35,Female,77.95,1.92,179.86,127.45,53.08,0.71,625.37,26.055273445205334,2.71,2.99,1.01,21.15,2.99,-0.02,171.13,69.22,46.01,2290.0,Other,Snack,Paleo,3.98,214.56,146.97,145.02,Grilled,56.25,44.97,1.66,Incline Push-ups,5.01,19.0,Builds chest strength,343.81,"Core, Shoulders, Hips",Resistance Band,Beginner,Abs,Wrist Flexors,Bent-over lateral raises,21.14529079861111,1375.49,0.4976553809915012,0.8880051314945477,0.5866067203028869,0.7086066940954076,1664.63,57.63991434946245,488.2102,7.476104684073478e+19,Medium
23.13,Female,114.71,1.6,181.93,163.24,59.92,1.47,1410.02,35.0,2.69,3.98,1.99,44.81,3.0,0.01,268.79,108.31,71.87,3207.0,Other,Dinner,Vegan,38.22,965.68,24.15,211.72,Steamed,50.71,36.37,3.39,Bicep Curls,4.02,24.01,Improves shoulder mobility and posture,351.77,"Chest, Triceps, Shoulders",Resistance Band or Cable Machine,Beginner,Abs,Grip Strength,Face pulls,44.80859374999999,2155.23,0.4988609104364732,0.9442071310260658,0.846815834767642,0.8972681800692575,1796.98,74.5615,1034.2038,9.013005409893088e+19,High
33.05,Female,113.8,1.99,168.93,124.75,57.83,1.38,1214.4,29.5353597410088,3.4,1.98,1.0,28.74,2.97,-0.01,241.19,96.45,64.68,2823.0,Other,Snack,Vegetarian,32.43,96.97,139.62,193.61,Boiled,33.26,86.48,3.75,Step-ups,5.01,25.0,Activates and strengthens glutes,355.01,Lower Abs,Kettlebell,Advanced,Legs,Lower Chest,Pull-ups,28.73664806444281,1932.68,0.4991824823561065,0.8475395430579965,0.6023402340234023,0.7384715562659089,1608.6,80.18876061473198,979.8275999999998,9.713933657634646e+19,High
50.1,Female,51.3,1.5,182.01,141.26,57.91,1.32,1157.38,25.749044548281383,2.2,3.0,1.0,22.8,2.99,1.05,227.72,91.8,60.23,1434.0,Other,Dinner,Vegan,25.32,406.4,101.73,298.67,Baked,35.99,7.98,2.74,Windshield Wipers,4.99,15.01,Targets upper chest,349.98,"Biceps, Forearms",Wall,Advanced,Legs,Lower Chest,Crunches,22.8,1820.15,0.5004422712413812,1.7894736842105263,0.6716357775987107,0.7761112026811714,276.6199999999999,38.090740146731655,923.9472,8.645138368201236e+19,High
18.7,Female,46.24,1.63,184.1,127.35,62.99,1.36,1303.42,20.76929923270975,1.59,3.97,1.98,17.4,3.0,0.0,173.93,69.53,46.39,1470.0,Other,Snack,Keto,5.16,647.29,293.95,369.85,Boiled,20.11,64.42,3.5,Shoulder Press,4.02,16.98,Improves back strength and posture,333.18,"Upper Chest, Triceps",Pull-up Bar,Intermediate,Back,Lower,Dumbbell front raises,17.403741202152887,1391.35,0.5000323426887556,1.5036764705882353,0.5314177194286186,0.6917436175991309,166.57999999999993,36.63627603479502,906.2496,5.784601217275196e+19,Low
55.13,Female,70.24,1.61,166.53,161.94,67.88,0.55,484.0,29.51084226519309,1.8,3.02,1.0,27.1,3.0,-0.02,215.97,87.38,58.22,1779.0,Other,Lunch,Balanced,10.47,2349.6,24.43,439.17,Boiled,26.39,33.21,2.38,Box Jumps,4.99,24.93,Builds explosive power,345.93,"Quadriceps, Calves, Glutes",Wall,Advanced,Shoulders,Lats,Plate pinch,27.097719995370543,1737.38,0.4972314634679805,1.2440205011389522,0.9534718702483528,0.9724373986669068,1295.0,49.51158439292837,380.523,7.8610699769091e+19,Medium
31.98,Female,125.79,1.83,197.78,146.54,62.26,1.09,1045.53,35.0,2.1,3.0,1.99,37.56,3.02,0.01,307.43,123.44,81.69,3372.0,Other,Dinner,Low-Carb,44.83,135.2,182.18,286.84,Baked,7.43,54.11,2.21,Plyo Squats,5.02,17.93,Builds unilateral leg strength and balance,362.36,"Legs, Shoulders, Core",Box or Platform,Beginner,Shoulders,Lower Chest,Cable crossovers,37.56158738690316,2458.69,0.5001525202445205,0.981318069798871,0.621900826446281,0.7409242592779856,2326.4700000000003,81.76350000000001,789.9448000000001,1.1484065431918104e+20,Very High
59.22,Female,121.67,1.9,177.76,152.96,50.71,0.65,573.56,35.0,3.11,3.0,1.03,33.7,2.01,0.01,174.73,69.99,47.05,3354.0,Other,Snack,Balanced,47.38,1986.64,227.62,363.44,Fried,49.06,57.15,2.8,Windshield Wipers,4.99,20.93,Full body workout,341.3,"Quadriceps, Glutes",Box or Platform,Intermediate,Legs,Lats,Russian twists,33.70360110803324,1402.33,0.4983990929381814,0.5752445138489356,0.804801259346714,0.8604860486048606,2780.44,79.08550000000001,443.69000000000005,7.041797747956446e+19,Medium
51.5,Female,70.31,1.69,165.48,135.09,64.86,1.37,1208.89,25.507991753823912,2.21,3.0,1.03,24.62,2.98,-0.02,207.76,83.42,55.56,1986.0,Other,Snack,Low-Carb,39.91,999.19,159.11,222.43,Steamed,59.71,79.32,4.02,Dead Bugs,4.0,15.98,Builds chest strength,337.68,"Core, Obliques",Dumbbells,Intermediate,Chest,Wrist Flexors,Romanian deadlifts,24.61748538216449,1664.76,0.4991950791705711,1.1864599630209074,0.6979725700655934,0.8163524292965918,777.1099999999999,52.37533099788641,925.2432,6.454456795793792e+19,Medium
51.36,Female,104.83,1.62,188.86,140.55,60.86,1.37,1206.7,35.0,3.21,2.98,1.01,39.94,2.99,0.01,268.86,107.02,71.9,2726.0,Other,Breakfast,Paleo,44.77,1081.43,184.82,452.56,Steamed,17.93,61.56,2.8,Flutter Kicks,4.98,22.04,Builds explosive power,349.63,Shoulders,Bench or Chair,Intermediate,Abs,Grip Strength,Decline cable crossovers,39.944368236549295,2150.62,0.5000604476848537,1.0208909663264332,0.6225781250000001,0.7442020544318543,1519.3,68.1395,957.9862,8.574770587364653e+19,High
50.0,Female,45.77,1.67,162.77,157.93,61.97,1.37,1310.82,16.298871654945803,2.81,4.03,1.96,16.41,2.99,0.0,242.61,96.6,64.57,1558.0,Other,Dinner,Vegetarian,14.48,1788.88,77.88,246.52,Raw,23.17,62.42,2.02,Deadlift,4.01,18.97,Strengthens triceps and chest,353.12,"Shoulders, Upper Back",Low Bar or TRX,Intermediate,Shoulders,Lats,Dumbbell front raises,16.41148840044462,1937.97,0.5007507856158764,2.110552763819096,0.9519841269841268,0.9702647908091172,247.1800000000001,38.31000644353131,967.5488,9.299467487086309e+19,High
